Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11769863,2020-05-11 15:14:44,2020-05-11 15:10:49,24063,6553642,22040,272,2,AADN04,https://sra-download.ncbi.nlm.nih.gov/traces/sra61/SRR/011494/SRR11769863,SRX8323404,p1953,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261072,PRJNA631642,,631642,SRS6642718,SAMN14888566,simple,208526,Gallus gallus gallus,100002,,,,,female,,no,,,,,UPPSALA UNIVERSITY,SRA1074192,,public,1EC2D8037FD158651E414194274A9E83,F9C2355DE1255F6057FE19C2095C400C
SRR11769852,2020-05-11 15:14:44,2020-05-11 15:11:01,23466,6203081,20929,264,2,AADN04,https://sra-download.ncbi.nlm.nih.gov/traces/sra42/SRR/011493/SRR11769852,SRX8323415,p1954,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261072,PRJNA631642,,631642,SRS6642730,SAMN14888567,simple,208526,Gallus gallus gallus,100102,,,,,female,,no,,,,,UPPSALA UNIVERSITY,SRA1074192,,public,25B584934273396FAF1881C0D78B237C,51D3E4BCCB93FDE78DFABE02BAA27AA6
SRR11769886,2020-05-11 15:14:44,2020-05-11 15:10:57,9827,2698716,9263,274,1,AADN04,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR11769886/SRR11769886.1,SRX8323381,p1906,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261072,PRJNA631642,,631642,SRS6642695,SAMN14888519,simple,208526,Gallus gallus gallus,329015,,,,,female,,no,,,,,UPPSALA UNIVERSITY,SRA1074192,,public,A8195FD445B22CAA14DBB7F6F59472AA,A86E16DCBDF0E0F1A80C7CFC0AF78A69
SRR11769941,2020-05-11 15:14:42,2020-05-11 15:11:33,15219,4220647,14357,277,2,AADN04,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR11769941/SRR11769941.1,SRX8323326,p1946,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261072,PRJNA631642,,631642,SRS6642641,SAMN14888559,simple,208526,Gallus gallus gallus,333715,,,,,male,,no,,,,,UPPSALA UNIVERSITY,SRA1074192,,public,040CAEAEA6B152BC16ABC23B8A950E93,888BC184C9549E3A42D323724A767A2A
SRR11769930,2020-05-11 15:14:43,2020-05-11 15:11:13,17014,4701536,16010,276,2,AADN04,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR11769930/SRR11769930.1,SRX8323337,p1947,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261072,PRJNA631642,,631642,SRS6642652,SAMN14888560,simple,208526,Gallus gallus gallus,333815,,,,,male,,no,,,,,UPPSALA UNIVERSITY,SRA1074192,,public,27C3B5448ACDD9FD4C238AE0EEA9F3C1,B58B4F40F624BFF8522BAA2A8F8CBCA2
SRR11769919,2020-05-11 15:14:43,2020-05-11 15:11:22,17364,4808737,16435,276,2,AADN04,https://sra-download.ncbi.nlm.nih.gov/traces/sra60/SRR/011494/SRR11769919,SRX8323348,p1948,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261072,PRJNA631642,,631642,SRS6642664,SAMN14888561,simple,208526,Gallus gallus gallus,333915,,,,,female,,no,,,,,UPPSALA UNIVERSITY,SRA1074192,,public,239995319A529C3F5645565C01ECB30C,4EF60055A9DBD6327183212F9E2607D4
SRR11769908,2020-05-11 15:14:43,2020-05-11 15:11:08,15781,4339544,14826,274,2,AADN04,https://sra-download.ncbi.nlm.nih.gov/traces/sra71/SRR/011494/SRR11769908,SRX8323359,p1949,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261072,PRJNA631642,,631642,SRS6642674,SAMN14888562,simple,208526,Gallus gallus gallus,334115,,,,,female,,no,,,,,UPPSALA UNIVERSITY,SRA1074192,,public,29C05FA75D721FC4383B3043EB3B6F95,E2F0EF88D856EEE7186A979BC886EFE6
SRR11769897,2020-05-11 15:42:40,2020-05-11 15:11:06,16503,4493760,15281,272,2,AADN04,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR11769897/SRR11769897.1,SRX8323370,p1950,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261072,PRJNA631642,,631642,SRS6642685,SAMN14888563,simple,208526,Gallus gallus gallus,334215,,,,,female,,no,,,,,UPPSALA UNIVERSITY,SRA1074192,,public,87DD3C2353B1153982327C3734E36181,3324A949F4E4D7AF18E8181DC4180223
SRR11769885,2020-05-11 15:42:40,2020-05-11 15:11:15,15900,4401475,15017,276,2,AADN04,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR11769885/SRR11769885.1,SRX8323382,p1951,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261072,PRJNA631642,,631642,SRS6642697,SAMN14888564,simple,208526,Gallus gallus gallus,334415,,,,,male,,no,,,,,UPPSALA UNIVERSITY,SRA1074192,,public,4E7BC573F6BE81B10746EDD03CD62DFA,E1DF9CF06E12DF404E63A69B8F334044
SRR11769874,2020-05-11 15:14:44,2020-05-11 15:10:54,25070,6829563,22651,272,2,AADN04,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-25/SRR11769874/SRR11769874.1,SRX8323393,p1952,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261072,PRJNA631642,,631642,SRS6642708,SAMN14888565,simple,208526,Gallus gallus gallus,334715,,,,,male,,no,,,,,UPPSALA UNIVERSITY,SRA1074192,,public,5284ECE11B5F86321F235A15B2540204,21B6C3D4622D14FA9B636F3A5C3A4279
SRR11769942,2020-05-11 15:14:42,2020-05-11 15:11:33,38767,10780020,35411,278,3,AADN04,https://sra-download.ncbi.nlm.nih.gov/traces/sra47/SRR/011494/SRR11769942,SRX8323325,p2350,WGS,RANDOM PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP261072,PRJNA631642,,631642,SRS6642640,SAMN14888963,simple,208526,Gallus gallus gallus,65002,,,,,male,,no,,,,,UPPSALA UNIVERSITY,SRA1074192,,public,B994FCD5E1009DE39819ED6076B0B4D4,A0A9E3E702E0FB9B22927162DB4A272E
