Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11809600,2020-05-18 20:46:15,2020-05-18 20:44:27,1953843,590060586,1953843,302,240,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11809600/SRR11809600.1,SRX8361019,11,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP262228,PRJNA633671,,633671,SRS6677075,SAMN14968234,simple,287,Pseudomonas aeruginosa,11,,,,,,,no,,,,,MARQUETTE UNIVERSITY,SRA1076973,,public,265F8F324FFB395E7567A0DBCF950194,BA904584A59DF8F2BB74A18CF71BF931
SRR11809627,2020-05-18 20:46:14,2020-05-18 20:43:50,793251,239561802,793251,302,97,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-13/SRR11809627/SRR11809627.1,SRX8360992,110,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP262228,PRJNA633671,,633671,SRS6677048,SAMN14968251,simple,287,Pseudomonas aeruginosa,110,,,,,,,no,,,,,MARQUETTE UNIVERSITY,SRA1076973,,public,070B23129B08549FE45DD99C1F31CCA7,8985F60E6E0308B949304C52491EBF6A
SRR11809626,2020-05-18 20:46:14,2020-05-18 20:43:49,1159152,350063904,1159152,302,143,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11809626/SRR11809626.1,SRX8360993,111,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP262228,PRJNA633671,,633671,SRS6677049,SAMN14968252,simple,287,Pseudomonas aeruginosa,111,,,,,,,no,,,,,MARQUETTE UNIVERSITY,SRA1076973,,public,712CA5CC0FDF5C345F1D99F968D25584,6DF58DF2B0EC7AB9C70F6AF9797A7BD5
SRR11809624,2020-05-18 20:46:14,2020-05-18 20:44:18,1889742,570702084,1889742,302,245,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-21/SRR11809624/SRR11809624.1,SRX8360995,117,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP262228,PRJNA633671,,633671,SRS6677051,SAMN14968253,simple,287,Pseudomonas aeruginosa,117,,,,,,,no,,,,,MARQUETTE UNIVERSITY,SRA1076973,,public,8EA6BE580775F7CA9DAD8B2EEB639E41,8D8E69D9478936092339ABAD55DBD218
SRR11809623,2020-05-18 20:46:14,2020-05-18 20:43:50,1151716,347818232,1151716,302,141,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11809623/SRR11809623.1,SRX8360996,122,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP262228,PRJNA633671,,633671,SRS6677052,SAMN14968254,simple,287,Pseudomonas aeruginosa,122,,,,,,,no,,,,,MARQUETTE UNIVERSITY,SRA1076973,,public,4483D1C6D69EFA09746C89E2BD01458F,F3987FB75E1582E42FCEB647F1CB5DB4
SRR11809622,2020-05-18 20:46:14,2020-05-18 20:44:25,2710356,818527512,2710356,302,333,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11809622/SRR11809622.1,SRX8360997,123,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP262228,PRJNA633671,,633671,SRS6677053,SAMN14968255,simple,287,Pseudomonas aeruginosa,123,,,,,,,no,,,,,MARQUETTE UNIVERSITY,SRA1076973,,public,7D78EF559CECC0A9D2BB730544C0DF9A,75BF6F767A5C971EFC77416B49937DF8
SRR11809621,2020-05-18 20:46:14,2020-05-18 20:44:41,2934465,886208430,2934465,302,362,,https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos1/sra-pub-run-18/SRR11809621/SRR11809621.1,SRX8360998,124,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP262228,PRJNA633671,,633671,SRS6677054,SAMN14968256,simple,287,Pseudomonas aeruginosa,124,,,,,,,no,,,,,MARQUETTE UNIVERSITY,SRA1076973,,public,744BC5D41B0A18EE161B1CDA8F0CFAE6,5A6755EADF3085C52399E4B89E723C5B
SRR11809620,2020-05-18 20:47:30,2020-05-18 20:45:19,3438812,1038521224,3438812,302,422,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-13/SRR11809620/SRR11809620.1,SRX8360999,125,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP262228,PRJNA633671,,633671,SRS6677055,SAMN14968257,simple,287,Pseudomonas aeruginosa,125,,,,,,,no,,,,,MARQUETTE UNIVERSITY,SRA1076973,,public,6CEDF873DEAC8214A14F714B16BB9D42,3C5926B8A1ECF6FA73F025E7765FAB5B
SRR11809619,2020-05-18 20:46:14,2020-05-18 20:44:45,2378631,718346562,2378631,302,292,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-20/SRR11809619/SRR11809619.1,SRX8361000,126,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP262228,PRJNA633671,,633671,SRS6677056,SAMN14968258,simple,287,Pseudomonas aeruginosa,126,,,,,,,no,,,,,MARQUETTE UNIVERSITY,SRA1076973,,public,DACB6EA03514D5D2F685A77EA5B44B0A,30B3CE98B275F55172F913102B0DFD25
SRR11809618,2020-05-18 20:46:14,2020-05-18 20:44:06,1616292,488120184,1616292,302,198,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-19/SRR11809618/SRR11809618.1,SRX8361001,130,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP262228,PRJNA633671,,633671,SRS6677057,SAMN14968259,simple,287,Pseudomonas aeruginosa,130,,,,,,,no,,,,,MARQUETTE UNIVERSITY,SRA1076973,,public,CEAD216D6A10C8347C2F1B09788DCDAA,D4CDBA75113669C2C10A6E4EBF462408
